observation_id,location,date_measured,petal_length,petal_width,sepal_length,sepal_width
42,Location1,2024-03-15,1.94,1.54,8.39,3.92
43,Location3,2024-01-24,3.26,0.4,4.85,2.53
44,Location3,2024-01-24,6.0,2.33,5.4,4.14
45,Location3,2024-02-15,6.86,1.91,6.72,3.58
46,Location3,2024-01-24,5.89,2.16,7.46,3.6
47,Location2,2024-01-22,3.83,2.13,6.84,3.98
48,Location3,2024-03-15,3.63,0.57,4.04,3.54
49,Location2,2024-02-15,1.02,1.47,8.08,2.84
50,Location2,2024-01-24,6.68,0.45,6.99,2.82
51,Location1,2024-01-24,3.97,0.38,6.36,2.97
52,Location1,2024-03-15,1.58,2.09,5.41,2.93
53,Location3,2024-01-22,3.73,2.33,8.3,2.25
54,Location2,2024-01-24,3.47,0.66,8.53,3.89
55,Location3,2024-03-15,2.71,2.7,6.16,3.89
56,Location2,2024-03-15,3.61,2.72,4.71,2.9
57,Location1,2024-01-24,5.54,1.79,6.55,2.69
58,Location2,2024-01-24,6.27,2.85,5.1,2.1
59,Location1,2024-03-15,6.22,1.12,6.12,3.37
60,Location3,2024-03-15,5.72,1.56,7.35,3.28
61,Location1,2024-03-15,1.22,1.58,7.83,3.62
62,Location2,2024-02-15,5.31,0.79,5.7,3.83
63,Location1,2024-01-24,4.88,0.2,6.25,2.52
64,Location2,2024-01-24,1.61,0.68,6.05,4.17
65,Location1,2024-01-24,3.71,0.83,6.37,4.15
66,Location3,2024-02-15,3.66,2.75,8.59,2.01
67,Location3,2024-01-22,1.8,1.76,8.53,4.27
68,Location2,2024-02-15,1.47,1.64,6.44,2.06
69,Location3,2024-01-22,2.68,2.93,6.11,4.34
70,Location3,2024-01-24,4.59,0.62,4.22,2.99
71,Location2,2024-01-24,3.34,2.29,4.1,3.19
72,Location3,2024-01-22,2.07,2.7,8.59,3.76
73,Location2,2024-02-15,3.29,0.45,6.19,4.22
74,Location3,2024-02-15,5.04,0.3,8.13,3.45
75,Location3,2024-02-15,2.04,2.97,6.11,2.1
76,Location3,2024-01-22,1.78,2.46,4.53,2.92
77,Location2,2024-01-22,3.7,1.17,7.79,3.63
78,Location3,2024-01-24,6.55,2.89,5.76,3.9
79,Location2,2024-02-15,3.03,1.0,7.39,3.58
80,Location2,2024-01-22,3.26,2.48,6.26,3.88
81,Location2,2024-03-15,6.28,1.43,4.07,4.4
82,Location3,2024-01-24,1.55,2.15,6.44,4.05
83,Location3,2024-01-22,6.41,0.84,6.71,3.52
84,Location3,2024-01-24,2.43,1.49,4.48,4.16
85,Location1,2024-02-15,5.19,0.56,4.01,4.09
86,Location2,2024-01-24,5.08,0.78,7.02,3.55
87,Location2,2024-02-15,3.11,1.71,8.19,3.4
88,Location3,2024-01-22,4.95,1.32,7.94,2.73
89,Location3,2024-01-22,3.52,2.81,4.62,2.93
90,Location2,2024-01-22,6.2,2.52,7.63,2.27
91,Location2,2024-03-15,6.18,0.2,4.51,2.49
92,Location2,2024-01-24,4.9,2.5,5.06,2.5
93,Location3,2024-03-15,1.19,2.85,5.68,3.0
94,Location2,2024-02-15,2.83,1.31,4.97,2.26
95,Location2,2024-02-15,1.61,0.54,6.55,2.23
96,Location1,2024-01-22,3.37,2.9,5.14,3.5
97,Location1,2024-01-22,4.06,1.17,4.61,2.21
98,Location2,2024-02-15,6.09,0.78,6.13,2.84
99,Location3,2024-03-15,4.44,2.3,4.0,3.12
